stateCode,stateNameEnglish,districtCode,districtNameEnglish,subdistrictCode,subdistrictNameEnglish,villageCode,villageNameEnglish,pincode
19,West Bengal,309,Darjeeling,2164,Phansidewa,306728,Helakadam Chhat,734014
19,West Bengal,309,Darjeeling,2164,Phansidewa,306751,Hetmuri,734426
19,West Bengal,309,Darjeeling,2164,Phansidewa,306677,Kadopani,734014
19,West Bengal,309,Darjeeling,2164,Phansidewa,306749,Kashiram,734434
19,West Bengal,309,Darjeeling,2164,Phansidewa,306694,Mohan Laler Chhat,734426
19,West Bengal,309,Darjeeling,2164,Phansidewa,306723,Muktar Chhat,734014
19,West Bengal,309,Darjeeling,2164,Phansidewa,306752,Nembutari,734434
19,West Bengal,309,Darjeeling,2164,Phansidewa,306683,Panaullar Chhat,734014
19,West Bengal,309,Darjeeling,2164,Phansidewa,306691,Pathar Hirhira,734429
19,West Bengal,309,Darjeeling,2164,Phansidewa,306778,Purbba Bansgaonchakla,734434
19,West Bengal,309,Darjeeling,2164,Phansidewa,306774,Purbba Madati,734426
19,West Bengal,309,Darjeeling,2164,Phansidewa,306738,Radha,734434
19,West Bengal,309,Darjeeling,2164,Phansidewa,306746,Rahamu,734434
19,West Bengal,309,Darjeeling,2164,Phansidewa,306724,Sangatram,734014
19,West Bengal,309,Darjeeling,2164,Phansidewa,306730,Sarcargachh,734014
19,West Bengal,309,Darjeeling,2164,Phansidewa,306695,Sastugachh,734426
19,West Bengal,309,Darjeeling,2164,Phansidewa,306674,Singijhor,734014
19,West Bengal,309,Darjeeling,2164,Phansidewa,306735,Tarbandha,734014
19,West Bengal,309,Darjeeling,2164,Phansidewa,306711,Thakurganja,734426
19,West Bengal,309,Darjeeling,2155,Rangli Rangliot,306211,Dawaipani,734213
19,West Bengal,309,Darjeeling,2155,Rangli Rangliot,306219,Mangpu Cinchona Plantation,734313
19,West Bengal,309,Darjeeling,2155,Rangli Rangliot,306213,Rangli Rangliot Tea Garden,734226
19,West Bengal,309,Darjeeling,2155,Rangli Rangliot,306198,Takling Khasmahal,734312
19,West Bengal,312,Hooghly,2340,Arambag,324304,Ajaypur,712413
19,West Bengal,312,Hooghly,2340,Arambag,324372,Arandi,712413
19,West Bengal,312,Hooghly,2340,Arambag,324306,Bara Garia,712617
19,West Bengal,312,Hooghly,2340,Arambag,324331,Beurgram,712613
19,West Bengal,312,Hooghly,2340,Arambag,324284,Chak Hazi,712615
19,West Bengal,312,Hooghly,2340,Arambag,324246,Chak Madan,712615
19,West Bengal,312,Hooghly,2340,Arambag,324305,Chand Chak,712413
19,West Bengal,312,Hooghly,2340,Arambag,324384,Chandraban,712412
19,West Bengal,312,Hooghly,2340,Arambag,324255,Chandsit,712413
19,West Bengal,312,Hooghly,2340,Arambag,324352,Chhandra,712415
19,West Bengal,312,Hooghly,2340,Arambag,324241,Eadpur,712602
19,West Bengal,312,Hooghly,2340,Arambag,324347,Haraditya,712415
19,West Bengal,312,Hooghly,2340,Arambag,324355,Katabani,712602
19,West Bengal,312,Hooghly,2340,Arambag,324327,Khalar,712613
19,West Bengal,312,Hooghly,2340,Arambag,324303,Krishnabati,712413
19,West Bengal,312,Hooghly,2340,Arambag,324330,Lalur Chak,712616
19,West Bengal,312,Hooghly,2340,Arambag,324295,Madhurpur,712413
19,West Bengal,312,Hooghly,2340,Arambag,324233,Maminpur,712602
19,West Bengal,312,Hooghly,2340,Arambag,324310,Manikpat,712617
19,West Bengal,312,Hooghly,2340,Arambag,324297,Mayapur,712413
19,West Bengal,312,Hooghly,2340,Arambag,324299,Mohanpur,712413
19,West Bengal,312,Hooghly,2340,Arambag,324390,Paschim Shibpur (P),712601
19,West Bengal,312,Hooghly,2340,Arambag,324263,Raghunathpur,712601
19,West Bengal,312,Hooghly,2340,Arambag,324338,Ranhat,712413
19,West Bengal,312,Hooghly,2340,Arambag,324321,Ratanpur,712613
19,West Bengal,312,Hooghly,2340,Arambag,324302,Satpur,712413
19,West Bengal,312,Hooghly,2340,Arambag,324369,Takshal,712415
19,West Bengal,312,Hooghly,2340,Arambag,324346,Taral,712413
19,West Bengal,312,Hooghly,2340,Arambag,324388,Tilak Chak,712412
19,West Bengal,312,Hooghly,2340,Arambag,324272,Uttar Sekhpur,712410
19,West Bengal,312,Hooghly,2345,Balagarh,324906,Aida Kismat,712512
19,West Bengal,312,Hooghly,2345,Balagarh,324989,Asanpur,712501
19,West Bengal,312,Hooghly,2345,Balagarh,324936,Bankipur,712512
19,West Bengal,312,Hooghly,2345,Balagarh,324987,Barail,712501
19,West Bengal,312,Hooghly,2345,Balagarh,324948,Basuki,712512
19,West Bengal,312,Hooghly,2345,Balagarh,325001,Bhabanipur,712514
19,West Bengal,312,Hooghly,2345,Balagarh,324946,Chandpur,712512
19,West Bengal,312,Hooghly,2345,Balagarh,324914,Char Rampur,712512
19,West Bengal,312,Hooghly,2345,Balagarh,324911,Chhera Char Krishnabati,712512
19,West Bengal,312,Hooghly,2345,Balagarh,325019,Dadpur,712515
19,West Bengal,312,Hooghly,2345,Balagarh,325033,Durllabhpur,712501
19,West Bengal,312,Hooghly,2345,Balagarh,324931,Gopalbati,712512
19,West Bengal,312,Hooghly,2345,Balagarh,325007,Hasimpur,712501
19,West Bengal,312,Hooghly,2345,Balagarh,324925,Ichhapura,712512
19,West Bengal,312,Hooghly,2345,Balagarh,324958,Jagulia,712123
19,West Bengal,312,Hooghly,2345,Balagarh,325014,Khamargachhi,712515
19,West Bengal,312,Hooghly,2345,Balagarh,324932,Khetpur,712512
19,West Bengal,312,Hooghly,2345,Balagarh,324949,Kuliapara,712512
19,West Bengal,312,Hooghly,2345,Balagarh,324974,Mahipalpur,712146
19,West Bengal,312,Hooghly,2345,Balagarh,325036,Mirdhanga (Ct),712512
19,West Bengal,312,Hooghly,2345,Balagarh,324963,Naopara,712123
19,West Bengal,312,Hooghly,2345,Balagarh,325029,Rajballabhpur,712501
19,West Bengal,312,Hooghly,2345,Balagarh,324915,Rampur,712512
19,West Bengal,312,Hooghly,2345,Balagarh,324923,Saira,712512
19,West Bengal,312,Hooghly,2345,Balagarh,325015,Sija,712515
19,West Bengal,312,Hooghly,2345,Balagarh,325022,Simulia,712515
19,West Bengal,312,Hooghly,2345,Balagarh,324933,Tildanga,712512
19,West Bengal,312,Hooghly,2351,Chanditala - I,325614,Baghati,712701
19,West Bengal,312,Hooghly,2351,Chanditala - I,325603,Bandpur,712701
19,West Bengal,312,Hooghly,2351,Chanditala - I,325589,Banipur,712701
19,West Bengal,312,Hooghly,2351,Chanditala - I,325610,Bara Choughara,712701
19,West Bengal,312,Hooghly,2351,Chanditala - I,325640,Bhagabatipur (Ct),712701
19,West Bengal,312,Hooghly,2351,Chanditala - I,325592,Chhunche,712701
19,West Bengal,312,Hooghly,2351,Chanditala - I,325608,Dudhkanra,712706
19,West Bengal,312,Hooghly,2351,Chanditala - I,325623,Kanaidanga,712701
19,West Bengal,312,Hooghly,2351,Chanditala - I,325632,Masat (Ct),712701
19,West Bengal,312,Hooghly,2351,Chanditala - I,325600,Pakur,712701
19,West Bengal,312,Hooghly,2351,Chanditala - I,325639,Ramanathpur (Ct),712702
19,West Bengal,312,Hooghly,2352,Chanditala - II,325643,Bamandanga,712702
19,West Bengal,312,Hooghly,2352,Chanditala - II,325669,Chikrand (Ct),712304
19,West Bengal,312,Hooghly,2352,Chanditala - II,325651,Duttapur,712702
19,West Bengal,312,Hooghly,2352,Chanditala - II,325670,Janai (Ct),712304
19,West Bengal,312,Hooghly,2352,Chanditala - II,325663,Kapashanria (Ct),712306
19,West Bengal,312,Hooghly,2352,Chanditala - II,325658,Khanpur,712702
19,West Bengal,312,Hooghly,2352,Chanditala - II,325672,Naiti (Ct),712702
19,West Bengal,312,Hooghly,2346,Chinsurah - Magra,325086,Benabharui,712148
19,West Bengal,312,Hooghly,2346,Chinsurah - Magra,325087,Chinchurah (P),712102
19,West Bengal,312,Hooghly,2346,Chinsurah - Magra,325047,Dahar Chaklai,712146
19,West Bengal,312,Hooghly,2346,Chinsurah - Magra,325071,Dakshin Hazipur,712121
19,West Bengal,312,Hooghly,2346,Chinsurah - Magra,325079,Debanandapur,712123
19,West Bengal,312,Hooghly,2346,Chinsurah - Magra,325104,Dharmapur (Ct),712101
19,West Bengal,312,Hooghly,2346,Chinsurah - Magra,325067,Gajaghanta,712148
19,West Bengal,312,Hooghly,2346,Chinsurah - Magra,325078,Iswarbaha,712121
19,West Bengal,312,Hooghly,2346,Chinsurah - Magra,325080,Kazidanga,712123
19,West Bengal,312,Hooghly,2346,Chinsurah - Magra,325089,Khamarpara,712102
19,West Bengal,312,Hooghly,2346,Chinsurah - Magra,325103,Kulihanda (Ct),712103
19,West Bengal,312,Hooghly,2346,Chinsurah - Magra,325040,Madhupur,712148
19,West Bengal,312,Hooghly,2346,Chinsurah - Magra,325051,Mamudpur,712148
19,West Bengal,312,Hooghly,2346,Chinsurah - Magra,325068,Minajpur,712148
19,West Bengal,312,Hooghly,2346,Chinsurah - Magra,325102,Naldanga (Ct),712123
19,West Bengal,312,Hooghly,2346,Chinsurah - Magra,325073,Tegharia,712121
19,West Bengal,312,Hooghly,2346,Chinsurah - Magra,325088,Uttar Chandannagar (P),712105
19,West Bengal,312,Hooghly,2346,Chinsurah - Magra,325065,Uttar Hazipur,712503
19,West Bengal,312,Hooghly,2343,Dhaniakhali,324670,Akabpur,712302
19,West Bengal,312,Hooghly,2343,Dhaniakhali,324726,Akilpur,712301
19,West Bengal,312,Hooghly,2343,Dhaniakhali,324631,Ala,712302
19,West Bengal,312,Hooghly,2343,Dhaniakhali,324655,Balidaha,712303
19,West Bengal,312,Hooghly,2343,Dhaniakhali,324605,Balighari,712303
19,West Bengal,312,Hooghly,2343,Dhaniakhali,324675,Bhotar,712152
19,West Bengal,312,Hooghly,2343,Dhaniakhali,324651,Chak Bibi,712308
19,West Bengal,312,Hooghly,2343,Dhaniakhali,324628,Chapabere,712302
19,West Bengal,312,Hooghly,2343,Dhaniakhali,324735,Chelua,712405
19,West Bengal,312,Hooghly,2343,Dhaniakhali,324722,Chhota Khanpur,712302
19,West Bengal,312,Hooghly,2343,Dhaniakhali,324637,Chhota Mallikpur,712302
19,West Bengal,312,Hooghly,2343,Dhaniakhali,324608,Dakshin Abhirampur,712301
19,West Bengal,312,Hooghly,2343,Dhaniakhali,324614,Dakshin Fatepur,712301
19,West Bengal,312,Hooghly,2343,Dhaniakhali,324555,Dedhara,712303
19,West Bengal,312,Hooghly,2343,Dhaniakhali,324629,Dhaniakhali,712303
19,West Bengal,312,Hooghly,2343,Dhaniakhali,324733,Dhantikari,712301
19,West Bengal,312,Hooghly,2343,Dhaniakhali,324685,Dulfa,712303
19,West Bengal,312,Hooghly,2343,Dhaniakhali,324684,Dumro,712402
19,West Bengal,312,Hooghly,2343,Dhaniakhali,324734,Gangarampur,712301
19,West Bengal,312,Hooghly,2343,Dhaniakhali,324695,Gopalpur,712302
19,West Bengal,312,Hooghly,2343,Dhaniakhali,324668,Gopikantapur,712302
19,West Bengal,312,Hooghly,2343,Dhaniakhali,324656,Gurap,712303
19,West Bengal,312,Hooghly,2343,Dhaniakhali,324535,Gurbari,712303
19,West Bengal,312,Hooghly,2343,Dhaniakhali,324658,Hasampur,712303
19,West Bengal,312,Hooghly,2343,Dhaniakhali,324693,Heregari,712302
19,West Bengal,312,Hooghly,2343,Dhaniakhali,324618,Hiranya Bati,712302
19,West Bengal,312,Hooghly,2343,Dhaniakhali,324531,Jerur,712303
19,West Bengal,312,Hooghly,2343,Dhaniakhali,324584,Jiara,712410
19,West Bengal,312,Hooghly,2343,Dhaniakhali,324625,Jot Kamal,712302
19,West Bengal,312,Hooghly,2343,Dhaniakhali,324697,Kanta Garia,712303
19,West Bengal,312,Hooghly,2343,Dhaniakhali,324547,Kashipur,712302
19,West Bengal,312,Hooghly,2343,Dhaniakhali,324630,Konan,712302
19,West Bengal,312,Hooghly,2343,Dhaniakhali,324643,Lokabati,712302
19,West Bengal,312,Hooghly,2343,Dhaniakhali,324537,Mahishgara,712402
19,West Bengal,312,Hooghly,2343,Dhaniakhali,324607,Mandara,712301
19,West Bengal,312,Hooghly,2343,Dhaniakhali,324676,Manipur,712152
19,West Bengal,312,Hooghly,2343,Dhaniakhali,324669,Masuria,712303
19,West Bengal,312,Hooghly,2343,Dhaniakhali,324589,Nalthoba,712402
19,West Bengal,312,Hooghly,2343,Dhaniakhali,324592,Paikpara,712402
19,West Bengal,312,Hooghly,2343,Dhaniakhali,324612,Paschim Keshabpur,712301
19,West Bengal,312,Hooghly,2343,Dhaniakhali,324585,Paschim Narayanpur,712410
19,West Bengal,312,Hooghly,2343,Dhaniakhali,324623,Purba Banpur,712302
19,West Bengal,312,Hooghly,2343,Dhaniakhali,324712,Rameswarbati,712302
19,West Bengal,312,Hooghly,2343,Dhaniakhali,324570,Rautpur,712402
19,West Bengal,312,Hooghly,2343,Dhaniakhali,324553,Salalpur,712302
19,West Bengal,312,Hooghly,2343,Dhaniakhali,324673,Uttar Abhirampur,712301
19,West Bengal,312,Hooghly,2343,Dhaniakhali,324534,Uttar Jagannathpur,712308
19,West Bengal,312,Hooghly,2343,Dhaniakhali,324536,Uttar Mamudpur,712302
19,West Bengal,312,Hooghly,2338,Goghat - I,324091,Amadpur,712614
19,West Bengal,312,Hooghly,2338,Goghat - I,324092,Bamunia,712614
19,West Bengal,312,Hooghly,2338,Goghat - I,324083,Bara Kumursa,712616
19,West Bengal,312,Hooghly,2338,Goghat - I,324104,Belekusuma,712616
19,West Bengal,312,Hooghly,2338,Goghat - I,324065,Buintya,712614
19,West Bengal,312,Hooghly,2338,Goghat - I,324088,Dahiakanda,712616
19,West Bengal,312,Hooghly,2338,Goghat - I,324093,Darinakunda,712614
19,West Bengal,312,Hooghly,2338,Goghat - I,324098,Dumurpara,712614
19,West Bengal,312,Hooghly,2338,Goghat - I,324103,Goalpara,712616
19,West Bengal,312,Hooghly,2338,Goghat - I,324059,Golpur,712614
19,West Bengal,312,Hooghly,2338,Goghat - I,324033,Harischandrapur,712611
19,West Bengal,312,Hooghly,2338,Goghat - I,324119,Jagatpur,712616
19,West Bengal,312,Hooghly,2338,Goghat - I,324066,Janakiballabhpur,712616
19,West Bengal,312,Hooghly,2338,Goghat - I,324096,Jot Mahabat,712616
19,West Bengal,312,Hooghly,2338,Goghat - I,324068,Kamche,712614
19,West Bengal,312,Hooghly,2338,Goghat - I,324022,Khatgram,712602
19,West Bengal,312,Hooghly,2338,Goghat - I,324109,Khilgram,712616
19,West Bengal,312,Hooghly,2338,Goghat - I,324100,Kulia,712614
19,West Bengal,312,Hooghly,2338,Goghat - I,324114,Mirzzapur,712616
19,West Bengal,312,Hooghly,2338,Goghat - I,324084,Mohanpur,712616
19,West Bengal,312,Hooghly,2338,Goghat - I,324095,Nakunda,712614
19,West Bengal,312,Hooghly,2338,Goghat - I,324112,Penchera,712616
19,West Bengal,312,Hooghly,2338,Goghat - I,324057,Pirmallik,712614
19,West Bengal,312,Hooghly,2338,Goghat - I,324044,Pyarinagar,712602
19,West Bengal,312,Hooghly,2338,Goghat - I,324039,Rajgram,712614
19,West Bengal,312,Hooghly,2338,Goghat - I,324099,Rautara,712614
19,West Bengal,312,Hooghly,2338,Goghat - I,324097,Saora,712616
19,West Bengal,312,Hooghly,2338,Goghat - I,324074,Shyambati,712616
19,West Bengal,312,Hooghly,2338,Goghat - I,324021,Sulut,712602
19,West Bengal,312,Hooghly,2338,Goghat - I,324071,Teligram,712616
19,West Bengal,312,Hooghly,2338,Goghat - I,324055,Uttar Balarampur,712602
19,West Bengal,312,Hooghly,2339,Goghat - II,324123,Agai,712611
19,West Bengal,312,Hooghly,2339,Goghat - II,324152,Anur,722141
19,West Bengal,312,Hooghly,2339,Goghat - II,324199,Bara Salabeltala,712122
19,West Bengal,312,Hooghly,2339,Goghat - II,324215,Chandpur,712614
19,West Bengal,312,Hooghly,2339,Goghat - II,324219,Harihar,712614
19,West Bengal,312,Hooghly,2339,Goghat - II,324144,Idalbati,712611
19,West Bengal,312,Hooghly,2339,Goghat - II,324142,Jharikhanda,712602
19,West Bengal,312,Hooghly,2339,Goghat - II,324148,Jotchandi,712611
19,West Bengal,312,Hooghly,2339,Goghat - II,324201,Karnapur,712122
19,West Bengal,312,Hooghly,2339,Goghat - II,324224,Kayrakhali,712614
19,West Bengal,312,Hooghly,2339,Goghat - II,324122,Khatul,712611
19,West Bengal,312,Hooghly,2339,Goghat - II,324191,Kokandi,712122
19,West Bengal,312,Hooghly,2339,Goghat - II,324197,Krishnaganj,712122
19,West Bengal,312,Hooghly,2339,Goghat - II,324209,Kultala,712122
19,West Bengal,312,Hooghly,2339,Goghat - II,324139,Kumarganj,712611
19,West Bengal,312,Hooghly,2339,Goghat - II,324173,Laluka,712614
19,West Bengal,312,Hooghly,2339,Goghat - II,324230,Paba,712614
19,West Bengal,312,Hooghly,2339,Goghat - II,324161,Raghunathpur,712612
19,West Bengal,312,Hooghly,2339,Goghat - II,324165,Satberia,712612
19,West Bengal,312,Hooghly,2339,Goghat - II,324200,Selampur,712122
19,West Bengal,312,Hooghly,2339,Goghat - II,324222,Tehure,712614
19,West Bengal,312,Hooghly,2348,Haripal,325426,Abhirampur,712405
19,West Bengal,312,Hooghly,2348,Haripal,325404,Aimachapsara,712223
19,West Bengal,312,Hooghly,2348,Haripal,325302,Ajodhya Kasipur,712410
19,West Bengal,312,Hooghly,2348,Haripal,325382,Amgachhi,712405
19,West Bengal,312,Hooghly,2348,Haripal,325371,Aminpur,712405
19,West Bengal,312,Hooghly,2348,Haripal,325408,Bade Digaria,712223
19,West Bengal,312,Hooghly,2348,Haripal,325351,Baramba,712405
19,West Bengal,312,Hooghly,2348,Haripal,325454,Bargachhia (Ct),712407
19,West Bengal,312,Hooghly,2348,Haripal,325331,Basuri,712403
19,West Bengal,312,Hooghly,2348,Haripal,325448,Bijaypur,712407
19,West Bengal,312,Hooghly,2348,Haripal,325375,Brahmanpara,712405
19,West Bengal,312,Hooghly,2348,Haripal,325367,Chak Chandinagar,712403
19,West Bengal,312,Hooghly,2348,Haripal,325323,Chak Dumur,712403
19,West Bengal,312,Hooghly,2348,Haripal,325401,Chapsara,712223
19,West Bengal,312,Hooghly,2348,Haripal,325343,Dipagaja,712403
19,West Bengal,312,Hooghly,2348,Haripal,325377,Ghatra,712405
19,West Bengal,312,Hooghly,2348,Haripal,325373,Gopinagar,712405
19,West Bengal,312,Hooghly,2348,Haripal,325422,Hamir Gachhi,712405
19,West Bengal,312,Hooghly,2348,Haripal,325397,Harat,712223
19,West Bengal,312,Hooghly,2348,Haripal,325384,Jinpur,712405
19,West Bengal,312,Hooghly,2348,Haripal,325334,Joyrampur,712403
19,West Bengal,312,Hooghly,2348,Haripal,325350,Kanakpur,712405
19,West Bengal,312,Hooghly,2348,Haripal,325412,Kasimerpur,712407
19,West Bengal,312,Hooghly,2348,Haripal,325356,Kulubati Bhagabatipur,712403
19,West Bengal,312,Hooghly,2348,Haripal,325453,Kumirgarre,712223
19,West Bengal,312,Hooghly,2348,Haripal,325423,Malia,712405
19,West Bengal,312,Hooghly,2348,Haripal,325379,Mannapara,712405
19,West Bengal,312,Hooghly,2348,Haripal,325386,Meshera,712405
19,West Bengal,312,Hooghly,2348,Haripal,325328,Paschim Gopinathpur,712403
19,West Bengal,312,Hooghly,2348,Haripal,325366,Paschim Joykrishnapur,712405
19,West Bengal,312,Hooghly,2348,Haripal,325349,Paschim Mallikpur,712706
