id,devotee_id,previous_status,new_status,updated_at,comment
1,109,7,4,2025-07-12T06:48:03.035Z,
2,109,4,3,2025-07-12T06:48:14.212Z,dgdgsdg
3,109,3,4,"2025-07-12 06:52:41","Test upgrade"
4,109,4,4,"2025-07-12 06:52:41","Test upgrade"
5,109,4,4,"2025-07-12 06:52:41","Test upgrade"
6,17,3,4,"2025-07-12 06:52:41",
7,17,4,5,"2025-07-12 06:52:41",vfhgdfh
8,17,5,6,"2025-07-12 06:52:41",
9,17,6,7,"2025-07-12 06:53:23","Test with proper timestamp"
10,17,7,6,2025-07-12T06:53:02.565Z,"Test with new server restart"
11,109,4,2,2025-07-12T07:06:52.317Z,vxvxcvxcvx
